time_s,accel_x_g,accel_y_g,accel_z_g
1.0570,-0.3615,-10.1107,0.1413
1.0599,-0.4357,-9.9120,0.1724
1.0629,-0.4501,-9.9120,0.0982
1.0658,-0.3903,-9.9527,0.1221
1.0688,-0.3998,-9.9814,0.1173
1.0717,-0.4046,-9.9934,-0.0120
1.0747,-0.3903,-9.9599,0.1269
1.0776,-0.4166,-9.9431,0.0790
1.0806,-0.3687,-9.9647,0.1317
1.0835,-0.4621,-10.0149,0.1006
1.0864,-0.3615,-9.9311,0.1580
1.0894,-0.4549,-9.9503,0.1508
1.0923,-0.4046,-9.9120,0.1149
1.0953,-0.4070,-9.9335,0.1269
1.0982,-0.3903,-10.0963,0.0982
1.1012,-0.4190,-9.9383,0.0742
1.1041,-0.4621,-9.9240,0.0886
1.1071,-0.3352,-9.9742,0.0718
1.1101,-0.3711,-9.9934,0.1508
1.1131,-0.4405,-9.9335,0.1221
1.1160,-0.4286,-9.9144,0.1077
1.1190,-0.3974,-9.9551,0.0958
1.1219,-0.4357,-9.8090,0.0479
1.1249,-0.6129,-10.0078,0.1437
1.1278,-0.4525,-9.9695,0.0886
1.1308,-0.3352,-9.9288,0.1820
1.1338,-0.4118,-9.9048,0.1628
1.1367,-0.4118,-9.8737,0.0862
1.1396,-0.4549,-9.9599,0.0192
1.1426,-0.3591,-9.9359,0.0551
1.1455,-0.3903,-9.8857,0.0886
1.1485,-0.3950,-9.9168,0.1796
1.1514,-0.4286,-9.9695,0.0431
1.1543,-0.3831,-9.9647,0.1365
1.1573,-0.4525,-9.9240,0.1221
1.1602,-0.4429,-10.0796,0.3017
1.1632,-0.3998,-9.9192,0.0718
1.1661,-0.4334,-10.0963,0.0335
1.1690,-0.4334,-9.9575,0.0838
1.1720,-0.4070,-9.8306,-0.0168
1.1749,-0.4381,-9.9000,0.1867
1.1779,-0.3424,-9.9264,0.0790
1.1808,-0.4262,-9.9120,0.0646
1.1838,-0.4334,-9.9934,0.2059
1.1868,-0.4142,-9.9599,0.1293
1.1897,-0.3831,-9.9407,0.1365
1.1926,-0.3496,-9.9982,0.2418
1.1956,-0.4022,-9.9264,0.1437
1.1986,-0.4501,-9.9024,0.0742
1.2015,-0.4238,-9.9503,0.1149
1.2045,-0.4884,-9.9479,0.0287
1.2074,-0.3950,-9.9671,0.0886
1.2105,-0.4142,-9.9479,0.2873
1.2135,-0.4334,-9.8904,0.0383
1.2164,-0.3903,-9.8904,0.0551
1.2194,-0.3639,-9.9407,0.1006
1.2223,-0.4956,-9.8641,0.1149
1.2253,-0.4956,-9.8090,0.1987
1.2282,-0.4477,-9.9431,0.1484
1.2311,-0.4070,-9.9527,0.1963
1.2341,-0.3950,-9.8162,0.0599
1.2370,-0.4334,-9.9623,0.0958
1.2400,-0.4453,-9.9120,0.1077
1.2429,-0.4238,-9.9096,0.1077
1.2459,-0.4142,-9.9455,0.1341
1.2490,-0.3879,-9.9311,0.1460
1.2521,-0.3735,-9.9575,0.0766
1.2551,-0.5411,-10.1059,0.0431
1.2580,-0.3831,-9.9407,0.0838
1.2610,-0.4190,-9.9599,0.0599
1.2639,-0.4046,-9.9766,0.1437
1.2669,-0.4549,-9.9072,0.0335
1.2698,-0.3519,-9.9599,0.1508
1.2727,-0.4046,-9.9264,0.1556
1.2757,-0.4453,-9.9144,0.0790
1.2786,-0.4214,-9.9695,0.1077
1.2816,-0.4190,-9.9671,0.1101
1.2845,-0.3879,-9.9192,0.0718
1.2875,-0.3974,-9.8857,0.0934
1.2904,-0.4118,-9.9479,0.1006
1.2934,-0.3591,-9.9264,0.0766
1.2963,-0.4166,-9.9240,0.1125
1.2993,-0.3950,-9.9311,0.0742
1.3022,-0.4477,-9.9288,0.1317
1.3051,-0.3974,-9.9240,0.0886
1.3081,-0.4429,-9.9479,0.0622
1.3110,-0.2825,-9.9814,0.1317
1.3140,-0.4334,-9.9551,0.1460
1.3170,-0.3903,-9.9096,0.0718
1.3200,-0.4022,-9.8138,0.0886
1.3229,-0.3089,-9.9096,0.0862
1.3259,-0.4046,-9.9479,0.2011
1.3288,-0.3711,-9.8833,0.1101
1.3318,-0.4501,-9.9503,0.1652
1.3347,-0.3950,-9.9168,0.0048
1.3376,-0.3519,-9.9240,0.1245
1.3406,-0.3136,-9.8833,0.0862
1.3435,-0.4334,-9.9431,0.0024
1.3465,-0.4334,-9.9455,0.0934
